"","Module","Discipline","Degree_Centrality","Module_Weight","Module_Size"
"1",1,"Cell/Cellular and Molecular Biology",2,8.94585849035999,8
"2",2,"Astronomy",2,6.84109193407554,3
"3",3,"Criminal Justice and Corrections, General",4,4.89916066381459,8
"4",4,"Environmental/Environmental Engineering Technology/Technician",1,6.43294009273918,2
"5",5,"Audiology/Audiologist and Speech-Language Pathology/Pathologist",1,6.23441072571837,2
"6",6,"Agronomy and Crop Science",2,6.64824740996061,3
"7",7,"Information Science/Studies",1,9.40557815403668,2
"8",8,"Construction Management, General",1,5.55682806169954,2
"9",3,"Religion/Religious Studies",5,4.89916066381459,8
"10",9,"Nuclear Medical Technology/Technologist",1,3.17805383034795,2
"11",3,"Divinity/Ministry",5,4.89916066381459,8
"12",10,"Financial Mathematics",1,6.71659477352098,2
"13",11,"International Business, Trade, and Tax Law",1,8.0149968943483,2
"14",12,"Clinical Laboratory Science/Medical Technology/Technologist",1,4.78749174278205,2
"15",1,"Biology/Biological Sciences, General",4,8.94585849035999,8
"16",13,"Dietetic Technician",1,4.15450055827031,4
"17",14,"Mathematics, General",6,11.2262892317521,16
"18",14,"Computer Science",4,11.2262892317521,16
"19",1,"Bioinformatics",3,8.94585849035999,8
"20",14,"Economics, General",4,11.2262892317521,16
"21",15,"African Studies",2,3.62211375780167,3
"22",3,"Clinical, Counseling and Applied Psychology, Other",1,4.89916066381459,8
"23",16,"Rehabilitation Aide",1,4.20469261939097,2
"24",17,"Geological/Geophysical Engineering",1,4.04305126783455,2
"25",18,"International Relations and Affairs",2,6.52534108603461,5
"26",19,"Radiation Biology/Radiobiology",1,1.79175946922805,2
"27",14,"Computer Engineering, General",3,11.2262892317521,16
"28",18,"Anthropology, General",3,6.52534108603461,5
"29",14,"Business Administration and Management, General",3,11.2262892317521,16
"30",14,"Electrical/Electronic Engineering Technologies/Technicians, Other",3,11.2262892317521,16
"31",1,"Epidemiology",2,8.94585849035999,8
"32",14,"Engineering, General",6,11.2262892317521,16
"33",1,"Biostatistics",2,8.94585849035999,8
"34",20,"Geographic Information Science and Cartography",1,6.78897174299217,2
"35",3,"Marriage and Family Therapy/Counseling",4,4.89916066381459,8
"36",13,"Dietetics/Dietitian",3,4.15450055827031,4
"37",21,"Bilingual and Multilingual Education",1,2.56494935746154,2
"38",2,"Astrophysics",2,6.84109193407554,3
"39",3,"Criminal Justice/Police Science",4,4.89916066381459,8
"40",14,"Applied Mathematics, General",1,11.2262892317521,16
"41",22,"Child Development",1,4.83628190695148,2
"42",23,"Structural Engineering",2,5.10841868586824,3
"43",18,"Political Science and Government, General",1,6.52534108603461,5
"44",24,"General Literature",1,6.04025471127741,2
"45",25,"Surveying Engineering",1,1.94591014905531,2
"46",26,"Mass Communication/Media Studies",1,6.63725803128446,2
"47",14,"Data Science, General",1,11.2262892317521,16
"48",27,"Pharmacology",1,6.19440539110467,2
"49",28,"Respiratory Care Therapy/Therapist",1,2.63905732961526,2
"50",14,"Electrical and Computer Engineering",1,11.2262892317521,16
"51",23,"Civil Engineering, General",1,5.10841868586824,3
"52",29,"Exercise Science and Kinesiology",1,4.29045944114839,2
"53",30,"French Studies",1,3.91202300542815,2
"54",14,"Computer Software Engineering",1,11.2262892317521,16
"55",31,"Cheminformatics/Chemistry Informatics",1,5.50938833662798,2
"56",14,"Accounting",1,11.2262892317521,16
"57",32,"Biochemistry",1,6.41999492814714,2
"58",33,"Aerospace, Aeronautical, and Astronautical/Space Engineering, General",1,8.07215530818825,2
"59",1,"Molecular Biology",2,8.94585849035999,8
"60",2,"Planetary Astronomy and Science",2,6.84109193407554,3
"61",4,"Environmental/Environmental Health Engineering",1,6.43294009273918,2
"62",5,"Speech-Language Pathology/Pathologist",1,6.23441072571837,2
"63",6,"Soil Science and Agronomy, General",1,6.64824740996061,3
"64",7,"Library and Information Science",1,9.40557815403668,2
"65",8,"Construction Project Management",1,5.55682806169954,2
"66",3,"Theology/Theological Studies",5,4.89916066381459,8
"67",9,"Nuclear Medicine Residency Program",1,3.17805383034795,2
"68",10,"Mathematical Economics",1,6.71659477352098,2
"69",11,"Law",1,8.0149968943483,2
"70",12,"Clinical/Medical Laboratory Technician",1,4.78749174278205,2
"71",1,"Mathematical Biology",2,8.94585849035999,8
"72",14,"Statistics, General",6,11.2262892317521,16
"73",15,"Asian Studies/Civilization",1,3.62211375780167,3
"74",3,"Social Work",2,4.89916066381459,8
"75",16,"Vocational Rehabilitation Counseling/Counselor",1,4.20469261939097,2
"76",17,"Geotechnical and Geoenvironmental Engineering",1,4.04305126783455,2
"77",15,"American/United States Studies/Civilization",1,3.62211375780167,3
"78",18,"Public Administration",2,6.52534108603461,5
"79",19,"Radiologic Physics Residency Program",1,1.79175946922805,2
"80",14,"Business/Commerce, General",1,11.2262892317521,16
"81",1,"Public Health, General",1,8.94585849035999,8
"82",20,"Geography",1,6.78897174299217,2
"83",13,"Nutrition Sciences",1,4.15450055827031,4
"84",21,"English as a Second Language",1,2.56494935746154,2
"85",18,"Sociology, General",2,6.52534108603461,5
"86",22,"Early Childhood Education and Teaching",1,4.83628190695148,2
"87",23,"Transportation and Highway Engineering",1,5.10841868586824,3
"88",14,"Physics, General",1,11.2262892317521,16
"89",24,"Journalism",1,6.04025471127741,2
"90",25,"Surveying Technology/Surveying",1,1.94591014905531,2
"91",26,"Web Page, Digital/Multimedia and Information Resources Design",1,6.63725803128446,2
"92",13,"Restaurant/Food Services Management",1,4.15450055827031,4
"93",27,"Toxicology",1,6.19440539110467,2
"94",28,"Respiratory Therapy Technician/Assistant",1,2.63905732961526,2
"95",14,"Finance, General",2,11.2262892317521,16
"96",29,"Forensic Science and Technology",1,4.29045944114839,2
"97",30,"German Studies",1,3.91202300542815,2
"98",31,"Medicinal and Pharmaceutical Chemistry",1,5.50938833662798,2
"99",6,"Publishing",1,6.64824740996061,3
"100",32,"Biophysics",1,6.41999492814714,2
"101",33,"Mechanical Engineering",1,8.07215530818825,2
