cip6_name,modularity_class
"Mathematics, General",1
"Statistics, General",1
Computer Science,1
"Engineering, General",1
"Economics, General",1
"Computer Engineering, General",1
"Electrical/Electronic Engineering Technologies/Technicians, Other",1
"Business Administration and Management, General",1
"Business/Commerce, General",1
"Applied Mathematics, General",1
"Physics, General",1
"Data Science, General",1
Electrical and Computer Engineering,1
"Finance, General",1
Computer Software Engineering,1
Accounting,1
Information Science/Studies,1
Library and Information Science,1
Cell/Cellular and Molecular Biology,2
Molecular Biology,2
"Biology/Biological Sciences, General",2
Mathematical Biology,2
Bioinformatics,2
Epidemiology,2
"Public Health, General",2
Biostatistics,2
Biochemistry,2
Biophysics,2
International Relations and Affairs,3
Public Administration,3
"Anthropology, General",3
"Sociology, General",3
"Political Science and Government, General",3
Financial Mathematics,3
Mathematical Economics,3
Astronomy,4
Planetary Astronomy and Science,4
Astrophysics,4
Structural Engineering,4
Transportation and Highway Engineering,4
"Civil Engineering, General",4
Geological/Geophysical Engineering,4
