cip2_name,AI_RS
Computer and Information Sciences and Support Services,3.781502274
Engineering,1.686246895
Mathematics and Statistics,7.397099462
"Business, Management, Marketing, and Related Support Services",0.323272477
Education,0.682887545
Social Sciences,2.091203176
Multi/Interdisciplinary Studies,6.113469989
Biological and Biomedical Sciences,1.272138808
Health Professions and Related Programs,0.118089762
Engineering/Engineering-related Technologies/Technicians,0.846618638
Physical Sciences,1.643153347
English Language and Literature/Letters,0.579750019
"Communication, Journalism, and Related Programs",0.311558204
"Foreign Languages, Literatures, and Linguistics",4.466057492
Psychology,0.340588134
Visual and Performing Arts,0.246630588
Legal Professions and Studies,0.251225411
Library Science,1.563650941
Public Administration and Social Service Professions,0.067647601
"Culinary, Entertainment, and Personal Services",0.268828824
Construction Trades,0.060516252
Agricultural/Animal/Plant/Veterinary Science And Related Fields,0.17666591
Architecture and Related Services,0.331051808
"Liberal Arts and Sciences, General Studies and Humanities",0.45959111
Philosophy and Religious Studies,0.763924496
Transportation and Materials Moving,0.584429026
"Homeland Security, Law Enforcement, Firefighting and Related Protective Services",0.107520097
Family and Consumer Sciences/Human Sciences,0.064200399
Natural Resources and Conservation,0.16571926
"Area, Ethnic, Cultural, Gender, and Group Studies",0.319684793
Leisure and Recreational Activities,0.15371285
Medical Residency/Fellowship Programs,0.076121125
"Parks, Recreation, Leisure, Fitness, and Kinesiology",0.089435653
Mechanic and Repair Technologies/Technicians,0.029298478
Theology and Religious Vocations,0.055335175
Communications Technologies/Technicians and Support Services,0.089975288
"Military Science, Leadership and Operational Art",0.371977614
Military Technologies and Applied Sciences,0.93416987
Science Technologies/Technicians,0.014375046
History,0.149979834
